# Execution 1: Jab Speed Scaling Test (10.0, 20.0, 25.0 rad/s)
arm,name,speed,mode,wu_ap,ap_wu,total,pk_rpm,pk_rad_s,avg_rad_s,m1_pk,m2_pk,m3_pk,m4_pk,m1_avg,m2_avg,m3_avg,m4_avg,m1_pk_W,m2_pk_W,m3_pk_W,m4_pk_W,m1_avg_W,m2_avg_W,m3_avg_W,m4_avg_W,total_pk_W,total_avg_W,status
RIGHT,Right Hook,25.0,Waypoints,0.628,0.592,1.220,309,32.3,6.9,0.24,0.21,0.60,0.83,0.22,0.20,0.35,0.33,5.8,5.0,14.4,19.9,5.3,4.8,8.4,7.9,45.1,26.4,OK
RIGHT,Right Hook,25.0,Waypoints,0.635,0.589,1.223,346,36.3,7.5,0.26,0.21,0.58,0.80,0.25,0.20,0.24,0.29,6.2,5.0,13.9,19.2,6.0,4.8,5.8,7.0,44.4,23.5,OK
RIGHT,Right Hook,25.0,Waypoints,0.628,0.589,1.218,438,45.9,7.0,0.25,0.20,0.63,0.75,0.23,0.20,0.29,0.28,6.0,4.8,15.1,18.0,5.5,4.8,7.0,6.7,43.9,24.0,OK
RIGHT,Right Hook,25.0,Waypoints,0.626,0.586,1.212,372,39.0,7.1,0.22,0.19,0.59,0.86,0.21,0.18,0.26,0.29,5.3,4.6,14.2,20.6,5.0,4.3,6.2,7.0,44.6,22.6,OK
RIGHT,Right Hook,25.0,Waypoints,0.628,0.590,1.218,278,29.1,6.7,0.23,0.17,0.61,0.85,0.22,0.17,0.23,0.29,5.5,4.1,14.6,20.4,5.3,4.1,5.5,7.0,44.6,21.8,OK
RIGHT,Right Hook,25.0,Waypoints,0.647,0.655,1.302,331,34.7,6.7,0.23,0.20,0.66,0.82,0.21,0.19,0.28,0.28,5.5,4.8,15.8,19.7,5.0,4.6,6.7,6.7,45.8,23.0,OK
RIGHT,Right Uppercut,25.0,Waypoints,0.708,0.570,1.278,392,41.1,7.0,0.22,0.19,0.88,0.76,0.21,0.18,0.32,0.13,5.3,4.6,21.1,18.2,5.0,4.3,7.7,3.1,49.2,20.2,OK
RIGHT,Right Uppercut,25.0,Waypoints,0.582,0.624,1.206,1117,116.9,8.8,0.24,0.20,1.57,0.86,0.22,0.19,0.64,0.19,5.8,4.8,37.7,20.6,5.3,4.6,15.4,4.6,68.9,29.8,OK
RIGHT,Right Uppercut,25.0,Waypoints,0.601,0.591,1.192,1261,132.1,8.7,0.26,0.20,1.19,0.85,0.23,0.18,0.35,0.15,6.2,4.8,28.6,20.4,5.5,4.3,8.4,3.6,60.0,21.8,OK
RIGHT,Right Uppercut,25.0,Waypoints,0.709,0.917,1.626,1293,135.4,8.0,0.26,0.19,0.81,0.82,0.23,0.17,0.39,0.14,6.2,4.6,19.4,19.7,5.5,4.1,9.4,3.4,49.9,22.3,OK
RIGHT,Right Uppercut,25.0,Waypoints,0.562,0.716,1.278,1551,162.5,9.4,0.23,0.20,0.97,0.92,0.22,0.19,0.30,0.18,5.5,4.8,23.3,22.1,5.3,4.6,7.2,4.3,55.7,21.4,OK
RIGHT,Right Uppercut,25.0,Waypoints,0.585,0.565,1.150,1416,148.3,8.2,0.24,0.20,1.39,0.85,0.23,0.19,0.45,0.17,5.8,4.8,33.4,20.4,5.5,4.6,10.8,4.1,64.3,25.0,OK
RIGHT,Right Uppercut,25.0,Waypoints,0.678,0.608,1.286,1496,156.7,8.0,0.24,0.19,1.51,0.91,0.23,0.18,0.58,0.19,5.8,4.6,36.2,21.8,5.5,4.3,13.9,4.6,68.4,28.3,OK
RIGHT,Right Uppercut,25.0,Waypoints,0.566,0.637,1.203,1631,170.8,9.3,0.22,0.18,0.56,0.80,0.21,0.17,0.24,0.15,5.3,4.3,13.4,19.2,5.0,4.1,5.8,3.6,42.2,18.5,OK
RIGHT,Right Uppercut,25.0,Waypoints,0.556,0.754,1.310,747,78.2,8.5,0.21,0.19,0.80,0.75,0.20,0.18,0.32,0.15,5.0,4.6,19.2,18.0,4.8,4.3,7.7,3.6,46.8,20.4,OK
RIGHT,Right Uppercut,25.0,Waypoints,0.574,0.622,1.196,803,84.1,8.5,0.25,0.18,0.67,0.75,0.23,0.17,0.35,0.15,6.0,4.3,16.1,18.0,5.5,4.1,8.4,3.6,44.4,21.6,OK
